From,To,Label,Desc
streptococcus_viridans,optochin,resistant,
streptococcus_viridans,bile,resistant,
streptococcus_viridans,dental,spread,strep mutans spreads through dental caries
streptococcus_viridans,endocarditis,symptom,strep sanguinis causes endocarditis in already damaged heart valves (specifically mitral valve)
streptococcus_viridans,nasopharynx,colonizes,
streptococcus_viridans,platelet,adheres,aggregates platelets with dextrans
enterococcus_faecium,bile,resistant,
enterococcus_faecium,uti,symptom,
enterococcus_faecium,endocarditis,symptom,
enterococcus_faecium,biliary_tree,infects,
enterococcus_faecium,resistance,possesses,vancomycin resistance
enterococcus_faecium,gamma_hemolysis,performs,
enterococcus_faecium,gut,colonizes,
enterococcus_faecium,nosocomial,environment,common in hospital patients where there is antibiotic resistance
enterococcus_faecium,biofilm,builds,
enterococcus_faecalis,bile,resistant,
enterococcus_faecalis,uti,symptom,
enterococcus_faecalis,endocarditis,symptom,
enterococcus_faecalis,biliary_tree,infects,
streptococcus_gallolyticus,capsule,polysaccharide,
enterococcus_faecalis,gut,colonizes,
enterococcus_faecalis,nosocomial,environment,common in hospital patients where there is antibiotic resistance
enterococcus_faecalis,biofilm,builds,
streptococcus_gallolyticus,gamma_hemolysis,performs,
streptococcus_gallolyticus,bile,resistant,hydrolyzes esculin
streptococcus_gallolyticus,biofilm,builds,heart valves
streptococcus_gallolyticus,gut,colonizes,
streptococcus_gallolyticus,endocarditis,symptom,
streptococcus_gallolyticus,neoplasia,causes,sequelae is colorectal neoplasia
bacillus_anthracis,soil,spread,
bacillus_anthracis,animal_contact,spread,
bacillus_anthracis,lesion,symptom,black eschar
bacillus_anthracis,oxygen_metabolism,obligate aerobe,
bacillus_anthracis,capsule,PROTEIN,(poly-d glutamate)
bacillus_anthracis,endospore,form,
bacillus_anthracis,exotoxin,toxin,"composed of A-B structure. B binds, and A is cleaved into edema factor and lethal factor"
bacillus_anthracis,pulmonary_hemorrhage,symptom,"from inhalation of spores, woolsorter's disease, high mortality"
bacillus_anthracis,edema,symptom,"adenylate cyclase from edema factor, inhibits phagocytosis"
bacillus_anthracis,lymphadenopathy,symptom,widened mediastinum and lymph nodes
bacillus_anthracis,necrosis,symptom,"lethal factor is part of exotoxin and cleaves map kinase, causing necrosis"
bacillus_cereus,vomiting,symptom,"1-5 hours, heat stable toxin"
bacillus_cereus,food_poisoning,flash fried or reheated rice,
bacillus_cereus,endospore,form,
bacillus_cereus,diarrhea,symptom,"8-16 hours, heat labile enterotoxin"
bacillus_cereus,heat_solubility,property,contains both heat stable and heat labile enterotoxin
bacillus_cereus,enterotoxin,toxin,
clostridium_tetani,oxygen_metabolism,obligate anaerobe,
clostridium_tetani,endospore,form,
clostridium_tetani,soil,spread,
clostridium_tetani,puncture_wound,spread,rusty nails or barbed wire
clostridium_tetani,paralysis,spastic,"spastic, snare protein in renshaw cells (release inhibitory neurotransmetters like gaba and glycine) inhibited, uncontrolled motor stimulation"
clostridium_tetani,exotoxin,tetanospasmin,"2 component exotoxin that travels retrograde through motor neurons, cleaves snare proteins of renshaw cells"
clostridium_tetani,vaccine,toxoid vaccine,tetanus toxin conjugated to antibody
clostridium_tetani,neonate,tetanus neonatorum,passed from mother to child in umbilical region in unsanitary conditions
clostridium_botulinum,food_poisoning,canning of foods,
clostridium_botulinum,heat_solubility,labile,"botulinum toxin is labile, adults usually ingest preformed toxin"
clostridium_botulinum,exotoxin,botulinum toxin,attacks snare proteins on acetylcholine motor neurons
clostridium_botulinum,endospore,form,
clostridium_botulinum,paralysis,flaccid,"descending, ptosis, attacks motor neurons resulting in inability to fire action potentials"
clostridium_botulinum,oxygen_metabolism,obligate anaerobe,
clostridium_botulinum,neonate,affects,floppy baby syndrome from ingesting spores in foods like honey. Gut microbiota not formed so spores can germinate
clostridium_botulinum,puncture_wound,cause,"wound botulism is localized, followed by germination and systemic spread of toxin"
clostridium_perfringens,puncture_wound,cause,deep penetrating wounds
clostridium_perfringens,soil,spread,
clostridium_perfringens,oxygen_metabolism,obligate anaerobe,hyperbaric treatment can reduce growth and production of alpha toxin. Also contributes to angiogenesis
clostridium_perfringens,exotoxin,"alpha toxin, theta toxin, others","lecithinase. It is the alpha toxin that is responsible for much of the tissue destruction seen in the myonecrosis associated with gas gangrene, and is another example of an localized infection with systemic toxemia. This cytotoxin is associated with increased vascular permeability, massive hemolysis and bleeding, tissue destruction, hepatic toxicity, and myocardial dysfunction (bradycardia, hypotension). Shock and renal failure occur rapidly, within a few days of onset. theta toxin causes minor hemolytic toxin, creates double zone of hemolysis (alpha is outer while theta is inner), Four other toxins which are involved in infections caused by this organism are hemolysin, DNase, hyaluronidase, and collagenase. These toxins cause lysis or destruction of red blood cells, DNA, hyaluronic acid, and collagen, respectively, leading to tissue destruction and necrosis."
clostridium_perfringens,alpha_hemolysis,performs,double zone of hemolysis formed by theta and alpha toxins
clostridium_perfringens,food_poisoning,warmed meat dishes,"late onset, warmed meat dishes, enterotoxin is heat labile and results in diarrhea without fever or vomiting. Ingestion of preformed toxin results in more rapid onset of cramps and diarrhea (like a superantigen). No fever or vomiting"
clostridium_perfringens,heat_solubility,labile,enterotoxin is labile
clostridium_perfringens,enterotoxin,produces,associated with perfringens food poisoning
clostridium_perfringens,crepitus,symptom,
clostridioides_difficile,oxygen_metabolism,obligate anaerobe,
clostridioides_difficile,endospore,form,
clostridioides_difficile,gut,colonizes,"normal flora, toxic megacolon can complicate and colon damage in disease state. Fecal microbiota transplant may be a cure"
clostridioides_difficile,fecal_oral,spread,
clostridioides_difficile,nosocomial,spread,spread by poor hygiene/hand washing
clostridioides_difficile,contact,spread,contact precautions
clostridioides_difficile,antibiotic,cause,"antibiotic disruption caused by fluoroquinolones, penicillin, cephalosporins, PPIs, etc."
clostridioides_difficile,pseudomembrane,symptom,"pseudomembranous colitis, necrosis and formation of pseudomembranes"
clostridioides_difficile,diarrhea,symptom,high volume and foul smelling
clostridioides_difficile,fever,symptom,(realistically most infections produce fever but we'll highlight it if it was mentioned in lecture material)
clostridioides_difficile,leukocytosis,symptom,
clostridioides_difficile,pcr,testing,
clostridioides_difficile,enzyme_immunoassay,testing,tests for glutamate dehydrogenase (does not distinguish toxicity)
clostridioides_difficile,enterotoxin,"toxin A, toxin B",present in toxigenic c. diff. toxin B tends to be more toxin. Act on colon mucosal cells and disrupt cytoskeleton and tight junctions
clostridioides_difficile,exudate,symptom,yellow-white exudates from pseudomembranes
corynebacterium_diphtheriae,granular_inclusion,contains,metachromatic granules stained with aniline dye
corynebacterium_diphtheriae,exotoxin,dip. Toxin,"active and binding subunit, inhibits elongation factor 2 and protein synthesis (ribosylation). Receptor in humans is HB-EGF. Only produces toxin in environment with low iron"
corynebacterium_diphtheriae,pseudomembrane,builds,
corynebacterium_diphtheriae,tonsil,affects,
corynebacterium_diphtheriae,oropharynx,affects,
corynebacterium_diphtheriae,airway,affects,
corynebacterium_diphtheriae,lymphadenopathy,symptom,
corynebacterium_diphtheriae,paralysis,symptom,local posterior oropharynx paralysis
corynebacterium_diphtheriae,vaccine,toxoid vaccine,produces igG antibodies
corynebacterium_diphtheriae,myocarditis,symptom,
corynebacterium_diphtheriae,staphylococcus_aureus,symptom,"share some symptoms like septic arthritis, osteomyelitis, endocarditis, and abscesses"
corynebacterium_diphtheriae,papule,symptom,cutaneous diphtheria
corynebacterium_diphtheriae,ulcer,symptom,cutaneous diphtheria
corynebacterium_diphtheriae,enzyme_immunoassay,testing,elek test tests for toxic strains by having antitoxin antibodies bind to toxins
listeria_monocytogenes,flagellum,motility,outside of cell
listeria_monocytogenes,intracellular,facultative,internalins direct endocytosis
listeria_monocytogenes,beta_hemolysis,performs,
listeria_monocytogenes,catalase,positive,
listeria_monocytogenes,oxygen_metabolism,microaerophilic,lower O2 than normal
listeria_monocytogenes,actin_rocket,motility,polymerizes host actin to propel itself from cell to cell in the cytoplasm
listeria_monocytogenes,psychrophilic,grows,
listeria_monocytogenes,food_poisoning,"packaged meat, cheese, milk (refrigerated)",
listeria_monocytogenes,meningitis,symptom,
listeria_monocytogenes,neonate,affects,
listeria_monocytogenes,immunocompromised,affects,higher risk
actinomyces_israelii,oxygen_metabolism,obligate anaerobe,or facultative anaerobes
actinomyces_israelii,oropharynx,colonizes,normal flora
actinomyces_israelii,dental,caused by dental work or jaw trauma,
actinomyces_israelii,sinusitis,symptom,draining sinus tracts
actinomyces_israelii,abscess,symptom,
nocardia_asteroides,oxygen_metabolism,obligate aerobe,
nocardia_asteroides,soil,spread,
nocardia_asteroides,acid_fast,stains,contains mycolic acid
acid_fast,carbol_fuchsin_stain,involves,
carbol_fuchsin_stain,mycolic_acid,involves,
nocardia_asteroides,catalase,positive,
nocardia_asteroides,cgd,complication,patients with cgd have weakened immune response
nocardia_asteroides,urease,enzyme,
nocardia_asteroides,airway,symptom,lung cavitary lesions
nocardia_asteroides,cns,symptom,brain abscesses
nocardia_asteroides,cutaneous,symptom,"induration, lesions"
nocardia_asteroides,pneumonia,symptom,
nocardia_asteroides,protease,enzyme,virulence factor
nocardia_asteroides,hiv,complication,risk factor
nocardia_asteroides,immunocompromised,complication,risk factor
immunocompromised,hiv,cause,hiv causes immunocompromisation by attacking cd4 cells
nocardia_asteroides,induration,symptom,
nocardia_asteroides,lesion,symptom,
neisseria_meningitidis,fermentation,energy,ferments maltose in addition to glucose
neisseria_meningitidis,oxidase,positive,
neisseria_meningitidis,chocolate_agar,medium,also known as VPN (thayer-martin agar)
neisseria_meningitidis,catalase,positive,
neisseria_meningitidis,complement,defense,"membrane attack complex C5-C9 is the main defense against N. meningitidis, vaccine indicated in hypocomplementemia"
neisseria_meningitidis,pili,attaches,promotes colonization
neisseria_meningitidis,capsule,polysaccharide,"non-immunogenic in type B, similar to neurological tissue"
neisseria_meningitidis,immunoglobulin,affects,"igA protease, helps with mucosal colonization"
neisseria_meningitidis,lipopolysaccharide,toxin,"Lipooligosaccharide endotoxin, primary virulence factor that causes sepsis and DIC, forms blebs"
neisseria_meningitidis,nasopharynx,colonizes,"igA protease, helps with mucosal colonization"
neisseria_meningitidis,asymptomatic,state,carrier
neisseria_meningitidis,droplet,spread,
neisseria_meningitidis,contact,spread,confined spaces like barracks
neisseria_meningitidis,vascular_injury,symptom,caused by LOS
neisseria_meningitidis,dic,symptom,caused by LOS
neisseria_meningitidis,septic_shock,symptom,hypovolemic shock
dic,thrombocytopenia,symptom,part of DIC
dic,thrombosis,symptom,part of DIC
neisseria_meningitidis,waterhouse-friderichsen_syndrome,symptom,can be additional complication and severe
waterhouse-friderichsen_syndrome,hypoglycemia,involves,due to adrenal insufficiency
waterhouse-friderichsen_syndrome,hyponatremia,involves,due to adrenal insufficiency
waterhouse-friderichsen_syndrome,hyperkalemia,involves,due to adrenal insufficiency
neisseria_meningitidis,meningitis,symptom,2nd most common cause of bacterial meningitis
neisseria_meningitidis,pericarditis,symptom,immune complex mediated
neisseria_meningitidis,arthritis,symptom,immune complex mediated
neisseria_meningitidis,fever,symptom,
neisseria_meningitidis,myalgia,symptom,
neisseria_meningitidis,pharyngitis,symptom,
neisseria_meningitidis,flu-like,symptom,
neisseria_meningitidis,pharyngitis,symptom,like strep
neisseria_meningitidis,petechial_rash,symptom,
neisseria_meningitidis,spinal_tap,testing,way to test for N. M. infection
neisseria_meningitidis,prophylaxis,prevents,rifampin and ciprofloxacin post exposure
neisseria_meningitidis,vaccine,"quad, conjugate, serotype","different types of vaccines including all inclusive capsular polysaccharide quad vaccine, conjugate vaccine with capsule antigen and dip toxoid, and a recombinant serotype B vaccine"
neisseria_meningitidis,spleen,complication,"lack of defense against encapsulated organisms, vaccine indicated in asplenic patients"
neisseria_gonorrhoeae,intracellular,facultative,within PMNs/neutrophils
neisseria_gonorrhoeae,sti,symptom,
neisseria_gonorrhoeae,asymptomatic,state,carrier
neisseria_gonorrhoeae,neonate,affects,passed from mother to child in vaginal canal
neisseria_gonorrhoeae,eye_infection,symptom,"ophthalmia neonatorum, serious eye infection in the first 5 days (earlier compared to chlamydia)"
neisseria_gonorrhoeae,fermentation,energy,glucose only
neisseria_gonorrhoeae,oxidase,positive,
neisseria_gonorrhoeae,catalase,positive,
neisseria_gonorrhoeae,chocolate_agar,medium,grows on chocolate agar / thayer-martin agar
neisseria_gonorrhoeae,pili,possesses,antigenic variation makes it hard to vaccinate against
neisseria_gonorrhoeae,protease,enzyme,
neisseria_gonorrhoeae,beta_lactamase,enzyme,
neisseria_gonorrhoeae,lipopolysaccharide,toxin,endotoxin
neisseria_gonorrhoeae,physiology,iron_metabolism,acquires iron from environment
neisseria_gonorrhoeae,neutrophil,infects,"intracellular in pmns, pili prevent killing"
neisseria_gonorrhoeae,urethritis,symptom,"males, opacity proteins, painful urination and milky discharge"
neisseria_gonorrhoeae,prostatitis,symptom,males
neisseria_gonorrhoeae,orchitis,symptom,"males, testicular pain"
neisseria_gonorrhoeae,cervicitis,symptom,"females, mucopurulent (discharge and swelling)"
neisseria_gonorrhoeae,pid,symptom,"females, ab pain, dispareunia"
neisseria_gonorrhoeae,salpingitis,symptom,"females, can result in ectopic pregnancy and infertility"
neisseria_gonorrhoeae,fitz-hugh-curtis_syndrome,symptom,"inflammation of liver and peritoneum, violin string adhesions"
neisseria_gonorrhoeae,bacteremia,symptom,disseminated gonococcal infection - later stage
neisseria_gonorrhoeae,tenosynovitis,symptom,later stage
neisseria_gonorrhoeae,arthritis,symptom,"purulent, may be present in synovial fluid"
neisseria_gonorrhoeae,dermatitis,symptom,later stage
neisseria_gonorrhoeae,pcr,testing,can be tested with pcr methods (NAAT)
neisseria_gonorrhoeae,chlamydia_trachomatis,coinfection,can be covered with doxycycline or macrolides
neisseria_gonorrhoeae,prophylaxis,condoms,
fitz-hugh-curtis_syndrome,liver,involves,"inflammation, violin string adhesions"
moraxella_catarrhalis,catalase,positive,
moraxella_catarrhalis,nasopharynx,colonizes,
moraxella_catarrhalis,oxidase,positive,
moraxella_catarrhalis,oxygen_metabolism,obligate aerobe,
moraxella_catarrhalis,biofilm,builds,
moraxella_catarrhalis,beta_lactamase,enzyme,prevents beta lactams
moraxella_catarrhalis,otitis_media,symptom,
moraxella_catarrhalis,sinusitis,symptom,
moraxella_catarrhalis,copd,exacerbation,
klebsiella_pneumoniae,pneumonia,symptom,
klebsiella_pneumoniae,nosocomial,environment,
klebsiella_pneumoniae,uti,symptom,
klebsiella_pneumoniae,resistance,possesses,multidrug resistant
fermentation,macconkey_agar,testing,pink colonies if it ferments lactose
klebsiella_pneumoniae,fermentation,lactose,pink colonies on MacConkey agar
klebsiella_pneumoniae,abscess,symptom,
klebsiella_pneumoniae,capsule,polysaccharide,
klebsiella_pneumoniae,airway,symptom,currant JELLY sputum
klebsiella_pneumoniae,urease,positive,
enterobacter_cloacae,pneumonia,symptom,
enterobacter_cloacae,uti,symptom,
enterobacter_cloacae,resistance,possesses,
enterobacter_cloacae,fermentation,lactose,
