Id,Name,Definition,Class,PropList,Picture
membrane_agent,Membrane Damaging Agents,Compounds that disrupt bacterial membranes,Generic,"[""Detergents interact via hydrophobic end (eg. benzalkonium chloride)"", ""Alcohols and Phenols disrupt membranes and denature proteins"", ""not sporicidal"", ""can be used on enveloped viruses""]",membrane_agent.jpg
protein_agent,Protein Modifying Agents,Compounds that can destroy or modify essential proteins,Generic,"[""Chlorine, Iodine, and iodophors are oxidizing agents that inactive sulfhydryl containing enzymes. Iodine may be sporicidal"", ""H2O2, free radical oxidation, sporicidal"", ""Heavy metals like silver and mercury inhibit sulfhydryl groups"", ""Ethylene oxide is an alkylation agent used for sterilization"", ""Formaldehyde and glutaraldehyde denature protein and nucleic acids by alkylating amino and hydroxyl groups""]",protein_agent.png
nucleic_acid_agent,Nucleic Acid Modifying Agents,"Usually dyes that bind to negatively charged phosphate groups on nucleic acids, Used as stains, mostly not sporicidal",Generic,,nucleic_acid_agent.png
archaea_domain,Archaea,Domain of organism that usually don't cause disease,Generic,,archaea_domain.jpg
bacteria_domain,Bacteria (Domain),Single celled prokaryotic organisms,Generic,,bacteria_domain.png
eukarya_domain,Eukarya,Domain that contains eukaryotic organisms (cell nucleus),Generic,,bacteria_domain.png
virus_generic,Viruses,"Smallest infectious particles, typically contain dna or rna within a protein coat. Can only replicate within a host",Virus,"[""dna or rna"", ""0.02-0.2 microns"", ""can alter genetic material of host,"" ""lytic and lysogenic cycles""]",virus_generic.png
fungi_generic,Fungi,Eukaryotic unicellular or multicellular organisms that can grow as single celled yeasts or multi-cell filaments (hyphae),Fungus,"[""asexual or sexual"", ""contain chitin"", ""hyphae"", ""budding"", ""spores"", ""serious infections often without cure"", ""often requires surgery""]",fungi_generic.jpg
parasite_generic,Parasites,"Heterogeneous, eukaryotic organisms with complex life cycles, hosts, and sizes. Can be unicellular (protozoa) or multicellular (tapeworms).",Parasite,"[""live in other organisms as hosts"", ""multiple life cycle stages"", ""protozoa, helminths, and other types""]",parasite_generic.jpg
size,Size,Diameter of cell or microbe,Generic,,size.jpg
nuclear_membrane,Nuclear Membrane,"a double-layered membrane that surrounds the nucleus of a cell, separating the genetic material (DNA) within the nucleus from the rest of the cell's cytoplasm, and acting as a barrier that controls what molecules can enter and exit the nucleus",Cell_Structure,"[""nuclear pores""]",nuclear_membrane.jpg
peptidoglycan,Peptidoglycan,forms the cell wall using repeating GlcNac and MurNac. Help provide structural integrity and protects cell from osmotic disruption.,Cell_Structure,"[""tetrapeptide is attached to MurNac"", ""has D amino acids"", ""3rd tetrapeptide in one chain connects to 4th in another""]",peptidoglycan.jpg
cell_membrane_sterols,Sterols,"any of a group of naturally occurring unsaturated steroid alcohols, typically waxy solids.",Cell_Structure,,sterol.png
organelles,Internal Organelles,"Membrane bound structures inside the cell such as ER, Mitochondria, etc",Cell_Structure,,organelle.jpg
ribosome,Ribosome,An organelle that translates mRNA into protein inside the cytoplasm,Cell_Structure,"[""Synthesized in the nucleolus""]",ribosome.jpg
atp,ATP,"Adenosine Triphosphate, nucleotide component and major energy source for cells.",Generic,,atp.png
gram_stain,Gram Stain,crystal violet iodine acetone/alcohol safranin - differential staining based on the peptidoglycan content of the cell well.,Generic,"[""gram-positive stains violet since it is resistant to acetone/alcohol"", ""gram negative washed out by acetone and show safranin counterstain.""]",gram_stain.jpg
acid_fast,Acid fast stain,"Initial carbol fuchsin stain retained after acid-alcohol treatment masking methylene blue counterstain. Stain retention due to wax-like nearly impermeable cell wall containing nearly impermeable cell wall containing mycolic acid and large amounts of fatty acids, waves, and complex lipids.",Generic,,acid_fast_stain.jpg
cell_membrane,Cell Membrane,A double phospholipid bilayer membrane that functions as a barrier and transports things from inside the cell and outside.,Cell_Structure,,cell_membrane.jpg
capsule,Capsule,An outer covering of polysaccharides or polypeptides (bacillus anthracis) that surrounds the bacteria.,Cell_Structure,"[""primarily observed by negative staining such as india ink."", ""Extracellular conditions can determine whether a capsule is formed"", ""enhance or reduce virulence""]",capsule.jpg
gram_positive_cell_wall,Gram Positive Cell Wall,Composed of thick peptidoglycan cell wall layer with lipoteichoic and and teichoic acids and inner cytoplasmic membrane.,Cell_Structure,,gram_positive_cell_wall.jpg
teichoic_acid,Teichoic Acid,Polymer of repeats of glycerol phosphate or ribitol phosphate.,Cell_Structure,"[""wall have attachments in the N-terminus of the peptidoglycan peptide"", ""Membrane acids covalently attached to membrane lipids and extending into the peptidoglycan"", ""Adherence, attraction of cations, and antigen""]",
gram_negative_cell_wall,Gram Negative Cell Wall,"The cell wall of gram negative bacteria consist of an outer membrane with LPS, a thin layer of peptidoglycan, and an inner cytoplasmic membrane.",Cell_Structure,"[""Lipoprotein links outer membrane to peptidoglycan, protein portion is COVALENTLY attached"", ""Lipid protein is anchored NON-COVALENTLY in the hydrophobic region of the outer membrane.""]",gram_negative_cell_wall.jpg
lipopolysaccharide,Lipopolysaccharide(LPS),"A complex molecule on the outer membrane of gram negative bacteria comprised of an O oligosaccharide, Core polysaccharide, and Lipid A region.",Cell_Structure,"[""Also known as Endotoxin"", ""O antigen is sugars that contribute to smooth phenotype, promote variation, adherence, resistance, and protection from antibody/complement, and carry lipid A"", ""Core polysaccharide is a short chain of sugars in the middle, contains heptose and KDO"", ""Lipid A is a membrane anchor of LPS and a NAG dimer joined to saturated fatty acids, contributes to inflammation, hemorrhage, and shock."", ""binds cd14 on macrophages and releases IL1, IL6, and TNF"", ""activates complement and coagulation"", ""heat stable""]",lipopolysaccharide.jpg
chromosome,Chromosome,DNA structured with proteins specifying the genetic program for all organisms.,Cell_Structure,"[""bacteria have no nucleus but have nucleoid and circular chromosomes""]",chromosome.png
periplasmic_space,Periplasmic Space,"region between the inner and outer membranes of gram negative bacteria. controls access to cytoplasmic membrane and contains degradative and biosynthetic enzymes, and carrier proteins.",Cell_Structure,,periplasmic_space.jpg
granular_inclusion,Granular Inclusion,"primary storage molecules, not usually membrane enclosed",Cell_Structure,"[""volutin: polyphosphate metachromatic granules"", ""Lipid: poly-beta-hydroxybutyrate"", ""glycogen""]",granular_inclusion.jpg
pili,Pili (fimbriae),Small protein appendages anchored to the cytoplasmic membrane.,Cell_Structure,"[""common pili or type I pili are involved in adherence to other cells or inert substrates"", ""Sex pili tether donor and recipient bacteria together for transfer of gene information during conjugation""]",capsule.jpg
flagellum,Flagellum,"Main motility and chemotaxis organelle in bacteria, composed of self-aggregating protein subunits (flagellin) which form filaments that extend through the cell membrane from structure in the cytoplasmic membrane.",Cell_Structure,,capsule.jpg
endospore,Endospore,Dormant but viable form of cells produced by bacteria of Bacillus and Clostridium genera,Generic,"[""highly resistant to harsh environmental conditions"", ""killing is gold standard in sterilization"", ""highly dehydrated with uptake of Ca++ and accumulation of dipicolinic acid"", ""initiated by carbon and nitrogen depletion and is lysed from mother cell"", ""physical agents and nutrients can trigger germination (activation of spores)""]",endospore.png
mesophilic,Mesophilic,Growth temperature optimum where certain bacteria grow (30-37 degrees C),Generic,,temp_phys.jpg
psychrophilic,Psychrophilic,Preferring to grow in colder temperatures (20-30C),Generic,,temp_phys.jpg
thermophilic,Thermophilic,Preferring to grow in warmer temperatures (50-60),Generic,,temp_phys.jpg
physiology,Bacterial Physiology,"Bacteria differ in their growth temperature optimums, sources of carbon and energy, and sensitivity to oxygen.",Generic,"[""mesophilic, psychrophilic, thermophilic"", ""heterotrophic (organic carbon) and autotrophic(carbon dioxide)"", ""chemosynthetic(oxidation of organic cpds or inorganic cpds), photosynthetic(light)""]",physiology.jpg
oxygen_metabolism,Oxygen Metabolism,"Bacteria differ in their oxygen use, some need it to survive, some can choose, others cannot survive with oxygen.",Generic,"[""obligate aerobes require O2 for growth, cannot ferment"", ""facultative anaerobes grow best in O2 but can grow in absence"", ""microaerophiles (require O2 at lower levels than present in the atmosphere)"", ""aerotolerant anaerobes (can grow in the presence of O2 but can't use it)"", ""obligate anaerobes (O2 is toxic)"", ""key enzymes determine sensitivity to oxygen"", ""obligate anaerobes lack the enzymes to break down reactive oxygen species)""]",oxygen_metabolism.png
superoxide_dismutase,Superoxide Dismutase,Enzyme that converts super oxides to hydrogen peroxide or oxygen,Generic,,superoxide_dismutase.jpg
catalase,Catalase,Enzyme that converts hydrogen peroxide into water and oxygen,Lab,,catalase.jpg
peroxidase,Peroxidase,enzyme that breaks hydrogen peroxide into water and NAD,Generic,,peroxidase.png
energy_source,Energy Source,"preferred energy source for bacteria, include sugars, small carbon containing molecules, and amino acids",Generic,,physiology.jpg
end_products,End Products,"Products of Bacterial respiration that include lactic acid, butyric acid, propionic acid, etc.",Generic,,end_product.png
aerobic_respiration,Aerobic Respiration,Catabolism of glucose by bacteria involve its anaerobic conversion to pyruvate. Primary pathway is the Embden-Meyerhof-Parnas Pathway.,Generic,"[""if bacteria can use oxygen as final acceptor, it can undergo the citric acid cycle and electron transport chain"", ""obligate aerobes have more efficient membrane ATP generation than facultative anaerobes""]",aerobic_respiration.jpg
fermentation,Fermentation,"If the bacterium cannot grow aerobically, it must regenerate NAD+/NADP+ by using pyruvate and releasing alcohols.",Generic,,fermentation.jpg
anaerobic_respiration,Anaerobic Respiration,Use of an electron acceptor other than oxygen to generate more ATP in absence of oxygen.,Generic,"[""only limited to some bacteria"", ""use some components of respiratory chain""]",anaerobic_respiration.jpg
bacterial_growth,Bacterial Growth,"Growth of bacteria is exponential and uses mitosis (binary fission). Lag phase is time needed to adapt and synthesize cellular products. log phase is period where resources are abundant and growth is exponential only dependent on temp, composition, and bacterial characteristics. Stationary phase is period at which growth becomes limited due to exhaustion of nutrients and accumulation of toxic end products. death phase is period where there is a decline in number (often exponential) due to depletion of nutrients and toxic buildup.",Generic,"[""in vivo conditions are different than batch culture""]",bacterial_growth.jpg
direct_cell_count,Direct Cell Count,Method of measuring bacterial growth where a measured volume of culture is placed on a microscope and number is directly counted,Generic,"[""does not distinguish between living and dead cells"", ""only practical at high densities""]",direct_cell_count.png
viable_cell_count,Viable Cell Count,A portion of the culture is diluted and spread on medium. Individual cells that give rise to colonies that can be counted. 20-200 colonies are considered appropriate.,Generic,"[""sensitive to viable cells"", ""will only detect cells that can form colonies"", ""long incubation period""]",viable_cell_count.jpg
spectrophotometry,Spectrophotometry,means of estimating bacterial cell mass based on light scattering by bacterial cultures growing in a medium that has minimal light absorption at the wavelengths used.,Generic,"[""Fast and convenient"", ""Does not distinguish between living and dead cells"", ""only useful at density > 10^7 cells/ml""]",spectrophotometry.jpg
metabolic_activity,Metabolic Activity,"Measurement of a biochemical activity associated with a cell mass (i.e., oxygen consumption, carbon dioxide production, acid production, etc.). This can be useful in monitoring industrial processes in chemostats but requires a comparison to fixed standards that equate metabolic output to cell mass under particular culture conditions.",Generic,,bacterial_growth.jpg
staphylococcus_aureus,Staphylococcus Aureus,"Staphylococcus aureus is a gram-positive spherically shaped bacterium, a member of the Bacillota, and is a usual member of the microbiota of the body, frequently found in the upper respiratory tract and on the skin.",Coccus,"[""positive"", ""protein A is main virulence factor binds Fc portion of immunoglobulins and prevents complement binding"", ""mannitol salt agar selects for staph cocci, ferments mannitol yellow"", ""patchy infiltrates on x-ray"", ""TSST superantigen produces toxic shock"", ""Toxins (enterotoxin, exfoliatin, toxic shock toxin, leukocidin)"", ""food poisoning from meat and mayo"", ""MSSA beta lactamase"", ""MRSA penicillin binding protein alterations"", ""Hidradenitis suppurativa (follicular infection of intertriginous areas)""]",staphylococcus_aureus.jpg
staphylococcus_epidermidis,Staphylococcus Epidermidis,"Staphylococcus epidermidis is a Gram-positive bacterium, and one of over 40 species belonging to the genus Staphylococcus. It is part of the normal human microbiota, typically the skin microbiota, and less commonly the mucosal microbiota and also found in marine sponges.",Coccus,"[""positive"", ""sensitive to novobiocin"", ""normal skin flora"", ""catheter infections"", ""Artificial heart valves""]",staph_epidermidis.jpg
coagulase,Coagulase,Coagulase is a protein enzyme produced by several microorganisms that enables the conversion of fibrinogen to fibrin.,Lab,,coagulase.png
beta_hemolysis,Beta Hemolysis,"Beta hemolysis, also known as complete hemolysis, is a type of hemolytic reaction that occurs when bacteria completely lyse red blood cells in the area around and under their colonies",Lab,"[""transparent/white/yellow color"", ""streptolysin""]",hemolysis.jpg
immunoglobulin,Immunoglobulin,"An antibody or immunoglobulin is a large, Y-shaped protein belonging to the immunoglobulin superfamily which is used by the immune system to identify and neutralize antigens such as bacteria and viruses, including those that cause disease.",Generic,"[""Type M: lymph and blood original production before switching, cannot cross blood barrier"", ""IgA: mucosal immunity, secretory mechanisms"", ""IgE: attaches to mast cells for allergic reaction"", ""IgG main blood antibody, complement"", ""IgD, not well understood, formed originally with IgM""]",immunoglobulin.png
nares,Nares,Nasal passages,Generic,,nares.jpg
pneumonia,Pneumonia,"Pneumonia is an infection in your lungs caused by bacteria, viruses or fungi. Pneumonia causes your lung tissue to swell (inflammation) and can cause fluid or pus in your lungs.",Disease,,pneumonia.jpg
sepsis,Sepsis,"Sepsis occurs when chemicals released in the bloodstream to fight an infection trigger inflammation throughout the body. This can cause a cascade of changes that damage multiple organ systems, leading them to fail, sometimes even resulting in death. Symptoms include fever, difficulty breathing, low blood pressure, fast heart rate, and mental confusion.",Clinical,"[""high fever"", ""fast heart rate"", ""low blood pressure"", ""neurological symptoms"", ""organ failure"", ""must be with infection""]",sepsis.jpg
septic_shock,Septic Shock,"Septic shock is a life-threatening condition caused by a severe localized or system-wide infection that requires immediate medical attention. Symptoms include low blood pressure, pale and cool arms and legs, chills, difficulty breathing, and decreased urine output. Mental confusion and disorientation may also develop quickly.",Clinical,,septic_shock.jpg
arthritis,Arthritis,"a disease that causes inflammation or degeneration in the joints, where two or more bones meet.",Disease,,arthritis.jpg
abscess,Abscess,"An abscess is a pus-filled pocket that forms in an organ, tissue, or confined space in the body. It's a sign of infection and is usually swollen and painful.",Clinical,"[""dermis and subcutaneous layers""]",abscess.png
impetigo,Impetigo,"Impetigo is a contagious bacterial skin infection that usually appears as red, itchy sores that break open and form a yellow crust",Clinical,"[""affects superficial skin layers""]",impetigo.jpg
endocarditis,Endocarditis,"Endocarditis, also known as infective endocarditis or bacterial endocarditis, is a rare but life-threatening inflammation of the heart's inner lining and valves.",Disease,,endocarditis.jpg
osteomyelitis,Osteomyelitis,Osteomyelitis is a bone infection that happens when bacterial or fungal infections spread from other parts of your body into your bone marrow.,Disease,,osteomyelitis.jpg
scalded_skin_syndrome,Scalded Skin Syndrome,Staphylococcal scalded skin syndrome (SSSS) is a serious skin infection. The infection causes peeling skin over large parts of the body. It looks like the skin has been scalded or burned by hot liquid.,Disease,"[""exfoliative toxin""]",scalded_skin_syndrome.jpg
toxic_shock_syndrome,Toxic Shock Syndrome,a rare but life-threatening bacterial infection that causes a severe illness with multiple organ damage.,Disease,"[""high fever and chills"", ""low blood pressure"", ""vomiting and diarrhea"", ""rash on soles and hands""]",septic_shock.jpg
food_poisoning,Food Poisoning,Ingestion of microbes or toxins caused by eating or drinking,Disease,,food_poisoning.jpg
urease,Urease,"an enzyme that catalyzes the hydrolysis of urea, forming ammonia and carbon dioxide",Lab,,urease.png
novobiocin,Novobiocin,"Novobiocin is an antibiotic that is produced by Streptomyces niveus. This prenylated aminocoumarin is an effective antibacterial agent used in the treatment against Methicillin-resistant Staphylococcus aureus, and is also active against Staphylococcus epidermidis.",Lab,,novobiocin.png
uti,Urinary Tract Infection,"common infections that happen when bacteria, often from the skin or rectum, enter the urethra and infect the urinary tract",Disease,,uti.png
pyelonephritis,Pyelonephritis,"Pyelonephritis, also known as a kidney infection, is a type of urinary tract infection (UTI) that causes inflammation of the kidneys",Disease,,pyelonephritis.jpg
honeymoon_cystitis,Honeymoon Cystitis,"urinary tract infections (UTIs) that occur after sexual intercourse, often during the early stages of a relationship or after a period of abstinence",Disease,,honeymoon_cystitis.jpg
streptococcus_pyogenes,Streptococcus Pyogenes,"Streptococcus pyogenes is a species of Gram-positive, aerotolerant bacteria in the genus Streptococcus. These bacteria are extracellular, and made up of non-motile and non-sporing cocci that tend to link in chains.",Coccus,"[""positive"", ""cocci in strands"", ""beta-hemolytic"", ""exotoxin A"", ""scarlet fever - pharyngitis, rash, strawberry tongue"", ""Toxic Shock Like Syndrome"", ""SpeA and C are superantigens for TSLS"", ""SpeB is a protease that causes necrotizing fasciitis"", ""M-protein on cell wall interferes with complement and opsonization, immunogenic and similar to myosin, attacks heart valves"", ""F-protein binds fibronectin on pharyngeal epithelial cells"", ""lipoteichoic acids also bind to fibronectin on epithelial cells"", ""Rheumatic fever - autoimmune after pharyngitis not treated promptly - polyarthritis joints, myocarditis and pericarditis, nodules, erythema marginatum, Sydenham's chorea - rapid movement (type 2 hypersensitivity)"", ""Post streptococcal glomerulonephritis syndrome - immune complex and can result in nephritic syndrome (type 3 hypersensitivity), cola-colored urine, 2 weeks after infection, can still arise even with early treatment"", ""streptolysin O, lyses rbcs and immune cells- hemolytic toxin"", ""DNAse - breaks down host dna"", ""pyrrolidonyl positive"", ""bacitracin sensitive"", ""Antistreptolysin titers or Anti-DNAse titers for testing"", ""Streptokinase converts plasminogen to plasmin""]",streptococcus_pyogenes.jpg
bacitracin,Bacitracin,Bacitracin is an antibiotic that treats bacterial skin infections and prevents minor skin injuries from becoming infected,Antimicrobial,,bacitracin.png
staphylococcus_saprophyticus,Staphylococcus Saprophyticus,Staphylococcus saprophyticus is a Gram-positive coccus belonging to the genus Staphylococcus. S. saprophyticus is a common cause of community-acquired urinary tract infections.,Coccus,"[""positive"", ""causes utis during sexual activity""]",staphylococcus_sacrophyticus.jpg
biofilm,Biofilm,A biofilm is a syntrophic community of microorganisms in which cells stick to each other and often also to a surface. These adherent cells become embedded within a slimy extracellular matrix that is composed of extracellular polymeric substances.,Generic,,biofilm.jpg
pharyngitis,Pharyngitis,"Pharyngitis, also known as a sore throat, is an inflammation of the pharynx, or back of the throat",Clinical,,pharyngitis.jpg
erysipelas,Erysipelas,"Erysipelas is a skin infection involving the dermis layer of the skin, but it may also extend to the superficial cutaneous lymphatics.",Clinical,"[""affects dermis""]",erysipelas.jpg
cellulitis,Cellulitis,Cellulitis is a bacterial infection that affects the deep layers of the skin and underlying tissue,Clinical,"[""affects dermis and deeper layers of skin""]",
necrotizing_fasciitis,Necrotizing Fasciitis,"Necrotizing fasciitis is a rare, but serious bacterial infection. It can develop very quickly into a life-threatening emergency. Early symptoms include fever, severe pain, and an infection that spreads quickly. People with necrotizing fasciitis need immediate hospital care, antibiotics, and surgery.",Clinical,"[""Effects underlying tissues""]",necrotizing_fasciitis.jpg
myocarditis,Myocarditis,"Myocarditis is a rare condition that causes inflammation of the heart muscle, or myocardium",Disease,,myocarditis.jpg
pericarditis,Pericarditis,"Pericarditis is a condition that causes the pericardium, the sac around the heart, to become inflamed",Disease,,pericarditis.jpg
streptococcus_agalactiae,Streptococcus Agalactiae,"Streptococcus agalactiae is a gram-positive coccus with a tendency to form chains. It is a beta-hemolytic, catalase-negative, and facultative anaerobe.",Coccus,"[""positive"", ""Group B strep"", ""affects newborns"", ""cAMP test increased zone of hemolysis with staph aureus (arrowhead)"", ""can be passed during birth"", ""swab test for mother at 35 weeks""]",streptococcus_agalactiae.jpg
sequelae,Sequelae,Secondary consequence to an infection,Clinical,,sequelae.jpg
papule,Papule,"A small, solid, raised bump on the skin that has a border with edges that are easy to see",Clinical,,papule.jpg
furuncle,Furuncle,"A furuncle, also known as a boil, is a painful, pus-filled bump on the skin that forms when a hair follicle and the surrounding tissue become infected",Clinical,"[""hair follicles and dermis""]",furuncle.jpg
carbuncle,Carbuncle,A group of pus-filled bumps forming a connected area of infection under the skin.,Clinical,"[""multiple furuncles merging"", ""hair follicles and surrounding skin""]",carbuncle.jpg
folliculitis,Folliculitis,Folliculitis is a common skin condition that occurs when hair follicles become inflamed or infected,Clinical,,folliculitis.jpg
rbc,Red Blood Cell,"Red blood cells, also known as erythrocytes, are the most common type of blood cell and are responsible for carrying oxygen from the lungs to the body's tissues",Generic,,rbc.jpg
nosocomial,Nosocomial,"Nosocomial is a term used to describe infections that are acquired in a healthcare facility, such as a hospital, long-term care facility, or surgical center.",Generic,,nosocomial.png
cyst,Cyst,"A cyst is a closed sac or pocket of tissue that can form anywhere in the body and can contain fluid, air, pus, or other material",Clinical,,cyst.jpg
hippurate,Hippurate,Hippurate is a compound that can refer to a urinary metabolite or a medication used to treat urinary tract infections (UTIs),Lab,"[""can be a test to see if a bacteria can break down sodium hippurate""]",hippurate.jpg
meningitis,Meningitis,"Meningitis is a serious infection that causes inflammation of the membranes that surround the brain and spinal cord, called the meninges",Disease,,meningitis.png
alpha_hemolysis,Alpha Hemolysis,Alpha hemolysis is a partial damage to red blood cells (RBCs) that occurs when a bacterium produces hydrogen peroxide,Lab,"[""oxidizing hemoglobin turns green""]",hemolysis.jpg
optochin,Optochin,"Optochin, also known as ethylhydrocupreine hydrochloride, is a chemical that's used to distinguish between bacteria that are sensitive to it and those that are resistant",Lab,,optochin.jpg
bile,Bile,Bile is a yellow-green fluid produced in the liver and stored in the gallbladder that helps digest fats in the small intestine,Lab,"[""can be used to test if a microbe is lysed by bile""]",bile.jpg
otitis_media,Otitis Media,"Otitis media, also known as an ear infection, is an inflammation of the middle ear that can occur at any age but is most common in children",Disease,,otitis_media.png
sinusitis,Sinusitis,"Sinusitis, also known as a sinus infection or rhinosinusitis, is a condition that occurs when the tissue lining the sinuses becomes inflamed or swollen",Disease,,sinusitis.jpg
protease,Protease,An enzyme that breaks down proteins,Generic,,protease.png
spleen,Spleen,"The spleen is a fist-sized organ in the upper left abdomen that filters blood, stores blood cells, and helps produce white blood cells",Generic,"[""fights against encapsulated organisms""]",spleen.jpg
platelet,Platelet,"Platelets, also known as thrombocytes, are small, colorless cell fragments in the blood that help stop bleeding and form clots",Generic,,platelet.jpg
biliary_tree,Biliary Tree,"The biliary tree is a network of ducts and organs that transport and store bile, a digestive fluid, throughout the body",Generic,,biliary_tree.png
gamma_hemolysis,Gamma Hemolysis,"If an organism does not induce hemolysis, the agar under and around the colony is unchanged, and the organism is called non-hemolytic or said to display gamma-hemolysis (γ-hemolysis)",Lab,,hemolysis.jpg
streptococcus_pneumoniae,Streptococcus Pneumoniae,"Streptococcus pneumoniae, or pneumococcus, is a Gram-positive, spherical bacteria, alpha-hemolytic member of the genus Streptococcus. S. pneumoniae cells are usually found in pairs and do not form spores and are non motile.",Coccus,"[""positive"", ""lancet shaped"", ""most common cause of bacterial meningitis, otitis media, pneumonia, sinusitis"", ""IgA protease allows colonization of mucous membranes"", ""Pneumolysin is the hemolysin produced by the pneumococcus; this cytolysin is a pore-former and is thought to alter cilia movement and to damage respiratory epithelial cells and endothelial cells."", ""encapsulated"", ""Adult 23-valent vaccine produces polysaccharide IgM"", ""newborns 7 valent polysaccharide protein IgG""]",streptococcus_pneumoniae.jpg
streptococcus_viridans,Streptococcus Viridans,"The viridans streptococci are a large group of commensal streptococcal Gram-positive bacteria species that are α-hemolytic, producing a green coloration on blood agar plates",Coccus,"[""positive"", ""no capsule"", ""bile insoluble"", ""strep mutans infects dental caries"", ""strep sanguinis causes endocarditis in heart valves (mitral valve primarily)"", ""aggregates platelets through dextrans""]",streptococcus_viridans.jpg
enterococcus_faecium,Enterococcus Faecium,"Enterococcus faecium is a Gram-positive, gamma-hemolytic or non-hemolytic bacterium in the genus Enterococcus. It can be commensal in the gastrointestinal tract of humans and animals, but it may also be pathogenic, causing diseases such as neonatal meningitis or endocarditis",Coccus,"[""positive"", ""resists 6.5% NaCl solution"", ""more dangerous and vancomycin resistant"", ""PYR test""]",enterococcus_faecium.jpg
enterococcus_faecalis,Enterococcus Faecalis,"Enterococcus faecalis – formerly classified as part of the group D Streptococcus system – is a Gram-positive, commensal bacterium inhabiting the gastrointestinal tracts of humans",Coccus,"[""positive"", ""resists 6.5% NaCl solution"", ""more common"", ""PYR test""]",enterococcus_faecalis.jpg
streptococcus_gallolyticus,Streptococcus Gallolyticus/Bovis complex,"Streptococcus bovis is a group of strains of Gram-positive bacteria, originally described as a species, that in humans is associated with urinary tract infections, endocarditis, sepsis, and colorectal cancer.",Coccus,"[""positive"", ""group D strep"", ""Strep bovis/equinus complex"", ""chains and pairs"", ""encapsulated"", ""susceptible to 6.5% NaCl"", ""hydrolyze esculin"", ""normal GI flora in cows and people"", ""opportunistic"", ""colorectal neoplasia""]",streptococcus_gallolyticus.jpg
bacillus_anthracis,Bacillus Anthracis,"Bacillus anthracis is a gram-positive and rod-shaped bacterium that causes anthrax, a deadly disease to livestock and, occasionally, to humans. It is the only permanent pathogen within the genus Bacillus. Its infection is a type of zoonosis, as it is transmitted from animals to humans.",Bacillus,"[""positive"", ""soil and contaminated animal"", ""black eschars on skin"", ""rods and chains"", ""poly-d glutamate protein capsule"", ""can be weaponized"", ""lethal factor (exotoxin protease, cleaves map kinase causing necrosis and disrupting cellular signaling)"", ""edema factor (adenylate cyclase, edema inhibits phagocytosis)"", ""pulmonary anthrax (woolsorter's disease) inhalation of spores"", ""widened mediastinum and lymph nodes""]",bacillus_anthracis.png
edema,Edema,The definition of edema is a swelling due to the expansion of interstitial fluid volume in tissues or an organ,Generic,,edema.jpg
pulmonary_hemorrhage,Pulmonary Hemorrhage,Pulmonary hemorrhage is a type of hemoptysis syndrome caused by rupture of the blood vessels below the larynx,Clinical,,pulmonary_hemorrhage.jpg
